Variable,TABLA,TABLA INSUMO
num_inc_util_interna_t11,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t12,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t01,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t02,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t03,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t04,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t05,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t06,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t07,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t08,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t09,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t10,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t11,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_dec_util_interna_t12,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
fecha,DBMYMWORK.JAT_MCV_VAR_VP, DBRISKDATAMART.TBL_CARTERACREDITICIA & BANREGIO_BOI.voluntaddepago_diario
