VARIABLE,TABLA,TABLA INSUMO
NUM_BK_CF_CL_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_OTHER_CL_ACC        ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_CL_ACC             ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_PQ_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_CS_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_LSG_CL_ACC         ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_R_CL_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_CF_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_OTHER_CL_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_PQ_CL_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_CS_CL_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_LSG_CL_ACC      ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_R_CL_ACC        ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_CF_CL_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_OTHER_CL_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_CL_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_PQ_CL_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_CS_CL_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_LSG_CL_ACC   ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_R_CL_ACC     ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_CF_CL_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_OTHER_CL_ACC ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_CL_ACC             ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_PQ_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_CS_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_LSG_CL_ACC         ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_R_CL_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_CF_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
