VARIABLE,TABLA,TABLA INSUMO
pct_num_iq_03m_nbk_r,btdc_lgg_var_resumen_iq_pct,btdc_lgg_var_resumen_iq & BTDC_LGG_VAR_RESUMEN_IQ3/BTDC_LGG_VAR_RESUMEN_IQ2/BTDC_LGG_VAR_RESUMEN_IQ1/dbriskdatamart.tbl_buroconsulta_recurrente
min_mop_lt2_nbk,btdc_lgg_var_mop_lt2,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
max_avg_mop_tu_all,btdc_lgg_var_avg_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
num_iq_06m,btdc_lgg_var_resumen_iq,BTDC_LGG_VAR_RESUMEN_IQ3/BTDC_LGG_VAR_RESUMEN_IQ2/BTDC_LGG_VAR_RESUMEN_IQ1/dbriskdatamart.tbl_buroconsulta_recurrente
num_max_mop_hist_rel_06m_bk_pl_op_acc,btdc_lgg_var_max_mop_hist_rel_06m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
num_max_mop_hist_rel_06m_pl_op_acc,btdc_lgg_var_max_mop_hist_rel_06m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
avg_ms_op_pl_cl_acc,btdc_lgg_var_ms_op,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_op_acc_bk_pl_op_acc_u09m,btdc_lgg_var_count_acc,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_num_dlq_bal_nbk_tu,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_num_dlq_bal_nbk_r,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
